Signal Legend:

Key        Signal Name

0        = PC[4..0]
1        = reset
2        = HAZARD_CONTROL_UNIT:HZRD_CTRL_UNT|actual_outcome
3        = HAZARD_CONTROL_UNIT:HZRD_CTRL_UNT|flush
4        = HAZARD_CONTROL_UNIT:HZRD_CTRL_UNT|prediction
5        = BPU:bpu|ghr_E[4..0]
6        = REGISTER_FILE:REG_FILE|registers[8][0..31]

Data Table:

Signals-> 0  1 2 3 4 5      6                                 

sample

217       2  0 0 0 0 00001b 00000000011101111110011011000101b 
218       3  0 0 0 0 00001b 00000000011101111110011011000101b 
219       4  0 0 0 0 00001b 00000000011101111110011011000101b 
220       2  0 0 0 0 00001b 00000000011101111110011011000101b 
221       3  0 0 0 0 00001b 00000000011101111110011011000101b 
222       4  0 0 0 0 00010b 00000000011101111110011011000110b 
223       2  0 0 0 0 00010b 00000000011101111110011011000110b 
224       3  0 0 0 0 00010b 00000000011101111110011011000110b 
225       4  0 0 0 0 00100b 00000000011101111110011011000111b 
226       2  0 0 0 0 00100b 00000000011101111110011011000111b 
227       3  0 0 0 0 00100b 00000000011101111110011011000111b 
228       4  0 0 0 0 01000b 00000000011101111110011011001000b 
229       2  0 0 0 0 01000b 00000000011101111110011011001000b 
230       3  0 0 0 0 01000b 00000000011101111110011011001000b 
231       4  0 0 0 0 10000b 00000000011101111110011011001001b 
232       2  0 0 0 0 10000b 00000000011101111110011011001001b 
233       3  0 0 0 0 10000b 00000000011101111110011011001001b 
234       4  0 0 0 0 00000b 00000000011101111110011011001010b 
235       2  0 0 0 0 00000b 00000000011101111110011011001010b 
236       3  0 0 0 0 00000b 00000000011101111110011011001010b 
237       4  0 0 0 0 00000b 00000000011101111110011011001011b 
238       2  0 0 0 0 00000b 00000000011101111110011011001011b 
239       3  0 0 0 0 00000b 00000000011101111110011011001011b 
240       4  0 0 0 0 00000b 00000000011101111110011011001100b 
241       2  0 0 0 0 00000b 00000000011101111110011011001100b 
242       3  0 0 0 0 00000b 00000000011101111110011011001100b 
243       4  0 0 0 0 00000b 00000000011101111110011011001101b 
244       2  0 0 0 0 00000b 00000000011101111110011011001101b 
245       3  0 0 0 0 00000b 00000000011101111110011011001101b 
246       4  0 0 0 0 00000b 00000000011101111110011011001110b 
247       2  0 0 0 0 00000b 00000000011101111110011011001110b 
248       3  0 0 0 0 00000b 00000000011101111110011011001110b 
249       4  0 1 1 0 00000b 00000000011101111110011011001111b 
250       5  0 0 0 0 00000b 00000000011101111110011011001111b 
251       6  0 0 0 0 00000b 00000000011101111110011011001111b 
252       7  0 0 0 0 00001b 00000000011101111110011011001111b 
253       8  0 0 0 0 00001b 00000000011101111110011011001111b 
254       9  0 0 0 0 00001b 00000000011101111110011011001111b 
255       10 0 0 0 0 00001b 00000000011101111110011011001111b 
256       11 0 0 0 0 00001b 00000000011101111110011011001111b 
257       12 0 0 0 0 00001b 00000000011101111110011011001111b 
258       13 0 0 0 0 00001b 00000000011101111110011011001111b 
259       14 0 0 0 0 00001b 00000000011101111110011011001111b 
260       15 0 0 0 0 00001b 00000000011101111110011011001111b 
261       16 0 0 0 0 00001b 00000000011101111110011011001111b 
262       17 0 0 0 0 00001b 00000000011101111110011011001111b 
263       18 0 0 0 0 00001b 00000000011101111110011011001111b 
264       19 0 0 0 0 00001b 00000000011101111110011011001111b 
265       20 0 0 0 0 00001b 00000000011101111110011011001111b 
266       21 0 0 0 0 00001b 00000000011101111110011011001111b 
267       22 0 0 0 0 00001b 00000000011101111110011011001111b 
268       23 0 0 0 0 00001b 00000000011101111110011011001111b 
269       24 0 0 0 0 00001b 00000000011101111110011011001111b 
270       25 0 0 0 0 00001b 00000000011101111110011011001111b 
271       26 0 0 0 0 00001b 00000000011101111110011011001111b 
272       27 0 0 0 0 00001b 00000000011101111110011011001111b 
273       28 0 0 0 0 00001b 00000000011101111110011011001111b 
274       29 0 0 0 0 00001b 00000000011101111110011011001111b 
275       30 0 0 0 0 00001b 00000000011101111110011011001111b 
276       31 0 0 0 0 00001b 00000000011101111110011011001111b 
277       0  0 0 0 0 00001b 00000000011101111110011011001111b 
278       1  0 0 0 0 00001b 00000000011101111110011011001111b 
279       2  0 0 0 0 00001b 00000000011101111110011011001111b 
280       3  0 0 0 0 00001b 00000000011101111110011011001111b 
281       4  0 0 0 0 00001b 00000000011101111110011011001111b 
282       2  0 0 0 0 00001b 00000000011101111110011011001111b 
283       3  0 0 0 0 00001b 00000000011101111110011011001111b 
284       4  0 0 0 0 00010b 00000000011101111110011011010000b 
285       2  0 0 0 0 00010b 00000000011101111110011011010000b 
286       3  0 0 0 0 00010b 00000000011101111110011011010000b 
287       4  0 0 0 0 00100b 00000000011101111110011011010001b 
288       2  0 0 0 0 00100b 00000000011101111110011011010001b 
289       3  0 0 0 0 00100b 00000000011101111110011011010001b 
290       4  0 0 0 0 01000b 00000000011101111110011011010010b 
291       2  0 0 0 0 01000b 00000000011101111110011011010010b 
292       3  0 0 0 0 01000b 00000000011101111110011011010010b 
293       4  0 0 0 0 10000b 00000000011101111110011011010011b 
294       2  0 0 0 0 10000b 00000000011101111110011011010011b 
295       3  0 0 0 0 10000b 00000000011101111110011011010011b 
296       4  0 0 0 0 00000b 00000000011101111110011011010100b 
297       2  0 0 0 0 00000b 00000000011101111110011011010100b 
298       3  0 0 0 0 00000b 00000000011101111110011011010100b 
